,reaction_id,rxn_smiles,products_run,PatentNumber
0,86,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[O:11][CH2:12][CH2:13][O:14]2.[N+:15]([O-:16])([OH:17])=[O:18]>C(O)(=O)C>[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6]([N+:15]([O-:17])=[O:18])[cH:7][c:8]2[c:9]([cH:10]1)[O:11][CH2:12][CH2:13][O:14]2,[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6]([N+:15]([O-:17])=[O:18])[cH:7][c:8]2[c:9]([cH:10]1)[O:11][CH2:12][CH2:13][O:14]2.[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([c:10]1[N+:15]([O-:17])=[O:18])[O:11][CH2:12][CH2:13][O:14]2.[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([N+:15]([O-:17])=[O:18])[c:8]2[c:9]([cH:10]1)[O:11][CH2:12][CH2:13][O:14]2,US03931179
1,126,[F:1][c:2]1[cH:3][cH:4][c:5]([C:6]([CH2:7][CH2:8][C:9]([OH:10])=[O:11])=[O:12])[cH:13][cH:14]1.[N+:15]([O-:16])([OH:17])=[O:18]>>[F:1][c:2]1[cH:3][cH:4][c:5]([C:6]([CH2:7][CH2:8][C:9]([OH:10])=[O:11])=[O:12])[cH:13][c:14]1[N+:15]([O-:17])=[O:18],[F:1][c:2]1[cH:3][cH:4][c:5]([C:6]([CH2:7][CH2:8][C:9]([OH:10])=[O:11])=[O:12])[cH:13][c:14]1[N+:15]([O-:17])=[O:18].[F:1][c:2]1[cH:3][cH:4][c:5]([C:6]([CH2:7][CH2:8][C:9]([OH:10])=[O:11])=[O:12])[c:13]([N+:15]([O-:17])=[O:18])[cH:14]1,US03931177
2,7220,[F:1][c:2]1[c:3](=[O:4])[nH:5][c:6](=[O:7])[nH:8][cH:9]1.[N+:10]([c:11]1[cH:12][cH:13][c:14]([C:15]([Cl:16])=[O:17])[cH:18][cH:19]1)([O-:20])=[O:21]>>[F:1][c:2]1[c:3](=[O:4])[nH:5][c:6](=[O:7])[n:8]([C:15]([c:14]2[cH:13][cH:12][c:11]([N+:10]([O-:20])=[O:21])[cH:19][cH:18]2)=[O:17])[cH:9]1,[F:1][c:2]1[c:3](=[O:4])[nH:5][c:6](=[O:7])[n:8]([C:15]([c:14]2[cH:13][cH:12][c:11]([N+:10]([O-:20])=[O:21])[cH:19][cH:18]2)=[O:17])[cH:9]1.[F:1][c:2]1[c:3](=[O:4])[n:5]([C:15]([c:14]2[cH:13][cH:12][c:11]([N+:10]([O-:20])=[O:21])[cH:19][cH:18]2)=[O:17])[c:6](=[O:7])[nH:8][cH:9]1,US03971784
3,6125,[N+:1]([O-:2])([OH:3])=[O:4].[OH:5][c:6]1[c:7]2[c:8]([cH:9][cH:10][cH:11][cH:12]2)[nH:13][c:14](=[O:15])[cH:16]1>C(O)(=O)C>[N+:1]([O-:3])(=[O:4])[c:16]1[c:6]([OH:5])[c:7]2[c:8]([cH:9][cH:10][cH:11][cH:12]2)[nH:13][c:14]1=[O:15],[N+:1]([O-:3])(=[O:4])[c:16]1[c:6]([OH:5])[c:7]2[c:8]([cH:9][cH:10][cH:11][cH:12]2)[nH:13][c:14]1=[O:15].[N+:1]([O-:3])(=[O:4])[c:12]1[c:7]2[c:6]([OH:5])[cH:16][c:14](=[O:15])[nH:13][c:8]2[cH:9][cH:10][cH:11]1.[N+:1]([O-:3])(=[O:4])[c:9]1[c:8]2[c:7]([c:6]([OH:5])[cH:16][c:14](=[O:15])[nH:13]2)[cH:12][cH:11][cH:10]1.[N+:1]([O-:3])(=[O:4])[c:10]1[cH:9][c:8]2[c:7]([c:6]([OH:5])[cH:16][c:14](=[O:15])[nH:13]2)[cH:12][cH:11]1.[N+:1]([O-:3])(=[O:4])[c:11]1[cH:10][cH:9][c:8]2[c:7]([c:6]([OH:5])[cH:16][c:14](=[O:15])[nH:13]2)[cH:12]1,US03962445
4,5324,[Br:1][N:2]1[C:3](=[O:4])[CH2:5][CH2:6][C:7]1=[O:8].[F:9][c:10]1[cH:11][cH:12][cH:13][cH:14][c:15]1[NH2:16]>C(Cl)Cl>[Br:1][c:12]1[cH:11][c:10]([F:9])[c:15]([NH2:16])[cH:14][cH:13]1,[Br:1][c:12]1[cH:11][c:10]([F:9])[c:15]([NH2:16])[cH:14][cH:13]1.[Br:1][c:11]1[c:10]([F:9])[c:15]([NH2:16])[cH:14][cH:13][cH:12]1.[Br:1][c:13]1[cH:12][cH:11][c:10]([F:9])[c:15]([NH2:16])[cH:14]1.[Br:1][c:14]1[cH:13][cH:12][cH:11][c:10]([F:9])[c:15]1[NH2:16],US03958976
5,13740,[C:1]1(=[O:2])[c:3]2[c:4]([cH:5][cH:6][cH:7][cH:8]2)[CH2:9][CH2:10][CH2:11]1.[F:12][c:13]1[cH:14][cH:15][c:16]([CH2:17][CH2:18][CH2:19][C:20]([OH:21])=[O:22])[cH:23][cH:24]1>>[F:12][c:13]1[cH:14][cH:15][c:16]2[c:23]([cH:24]1)[C:20](=[O:21])[CH2:19][CH2:18][CH2:17]2,[F:12][c:13]1[cH:14][cH:15][c:16]2[c:23]([cH:24]1)[C:20](=[O:21])[CH2:19][CH2:18][CH2:17]2.[F:12][c:13]1[cH:14][cH:15][c:16]2[cH:23][c:24]1[C:20](=[O:21])[CH2:19][CH2:18][CH2:17]2,US04014907
6,15714,[N+:1]([O-:2])([OH:3])=[O:4].[OH:5][c:6]1[cH:7][cH:8][c:9]([C:10]([O:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH3:23])=[O:24])[cH:25][cH:26]1>C(O)(=O)C>[N+:1]([O-:3])(=[O:4])[c:26]1[c:6]([OH:5])[cH:7][cH:8][c:9]([C:10]([O:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH3:23])=[O:24])[cH:25]1,[N+:1]([O-:3])(=[O:4])[c:26]1[c:6]([OH:5])[cH:7][cH:8][c:9]([C:10]([O:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH3:23])=[O:24])[cH:25]1.[N+:1]([O-:3])(=[O:4])[c:25]1[c:9]([C:10]([O:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH3:23])=[O:24])[cH:8][cH:7][c:6]([OH:5])[cH:26]1,US04029508
7,18526,[Cl:1][c:2]1[cH:3][cH:4][c:5]([Cl:6])[cH:7][c:8]1[C:9]([OH:10])=[O:11].[N+:12]([O-:13])([OH:14])=[O:15]>S(=O)(=O)(O)O>[Cl:1][c:2]1[c:3]([N+:12]([O-:14])=[O:15])[cH:4][c:5]([Cl:6])[cH:7][c:8]1[C:9]([OH:10])=[O:11],[Cl:1][c:2]1[c:3]([N+:12]([O-:14])=[O:15])[cH:4][c:5]([Cl:6])[cH:7][c:8]1[C:9]([OH:10])=[O:11].[Cl:1][c:2]1[cH:3][c:4]([N+:12]([O-:14])=[O:15])[c:5]([Cl:6])[cH:7][c:8]1[C:9]([OH:10])=[O:11].[Cl:1][c:2]1[cH:3][cH:4][c:5]([Cl:6])[c:7]([N+:12]([O-:14])=[O:15])[c:8]1[C:9]([OH:10])=[O:11],US04057418
8,19139,[Br:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([C:7]([OH:8])=[O:9])[cH:10][cH:11]1.[N+:12]([O-:13])([OH:14])=[O:15]>>[Br:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([C:7]([OH:8])=[O:9])[cH:10][c:11]1[N+:12]([O-:14])=[O:15],[Br:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([C:7]([OH:8])=[O:9])[cH:10][c:11]1[N+:12]([O-:14])=[O:15].[Br:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([C:7]([OH:8])=[O:9])[c:10]([N+:12]([O-:14])=[O:15])[cH:11]1,US04062746
9,14894,[Br:1][Br:2].[NH2:3][c:4]1[c:5]([OH:6])[cH:7][cH:8][cH:9][n:10]1>C(O)C>[Br:1][c:8]1[cH:7][c:5]([OH:6])[c:4]([NH2:3])[n:10][cH:9]1,[Br:1][c:8]1[cH:7][c:5]([OH:6])[c:4]([NH2:3])[n:10][cH:9]1.[Br:1][c:7]1[c:5]([OH:6])[c:4]([NH2:3])[n:10][cH:9][cH:8]1.[Br:1][c:9]1[cH:8][cH:7][c:5]([OH:6])[c:4]([NH2:3])[n:10]1,US04022897
