,reaction_id,smiles,products_run
0,0,[N:1]#[C:2][C@@H:3]([NH2:4])[CH2:5][Br:6].[H-:7],"[[5, 4, 6], [5, 4, 2, 6]]"
1,1,[CH3:1][C@@H:2]([NH2:3])[CH2:4][Cl:5].[F-:6],"[[4, 3, 5], [4, 3, 1, 5]]"
2,2,[CH3:1][C@@H:2]([NH2:3])[CH2:4][Br:5].[Br-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
3,3,[CH3:1][CH2:2][C@H:3]([Br:4])[C:5]#[N:6].[Cl-:7],"[[3, 2, 1, 6], [3, 2, 6]]"
5,5,[CH3:1][C@@:2]([Cl:3])([C:4]#[N:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[2, 1, 8], [2, 1, 0, 8]]"
6,6,[N:1]#[C:2][CH2:3][C@:4]([NH2:5])([Cl:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 9], [5, 3, 2, 9]]"
7,7,[CH3:1][CH2:2][C@:3]([NH2:4])([F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
8,8,[N:1]#[C:2][CH2:3][CH2:4][F:5].[H-:6],"[[4, 3, 5], [4, 3, 2, 5]]"
9,9,[CH3:1][CH2:2][CH2:3][F:4].[H-:5],"[[3, 2, 4], [3, 2, 1, 4]]"
10,10,[CH3:1][CH2:2][CH2:3][F:4].[F-:5],"[[3, 2, 4], [3, 2, 1, 4]]"
11,11,[CH3:1][CH2:2][CH2:3][Cl:4].[H-:5],"[[3, 2, 1, 4], [3, 2, 4]]"
12,12,[NH2:1][CH2:2][CH2:3][Cl:4].[H-:5],"[[3, 2, 1, 4], [3, 2, 4]]"
13,13,[NH2:1][CH:2]([NH2:3])[CH2:4][Cl:5].[Cl-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
14,14,[N:1]#[C:2][C@H:3]([NH2:4])[CH2:5][Br:6].[H-:7],"[[5, 4, 6], [5, 4, 2, 6]]"
15,15,[NH2:1][C@H:2]([CH2:3][Br:4])[N+:5](=[O:6])[O-:7].[Br-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
17,17,[N:1]#[C:2][CH2:3][CH2:4][Cl:5].[H-:6],"[[4, 3, 5], [4, 3, 2, 5]]"
18,18,[CH3:1][C@@H:2]([C:3]#[N:4])[CH2:5][Cl:6].[H-:7],"[[5, 4, 6], [5, 4, 1, 6]]"
20,20,[O:1]=[N+:2]([O-:3])[CH2:4][CH2:5][Cl:6].[Cl-:7],"[[5, 4, 6], [5, 4, 3, 6]]"
21,21,[CH3:1][CH2:2][CH2:3][Br:4].[Br-:5],"[[3, 2, 1, 4], [3, 2, 4]]"
