,reaction_id,smiles,reaction_core,activation_energy
0,0,[NH2:1][C@H:2]([C@H:3]([Cl:4])[N+:5](=[O:6])[O-:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[3, 2, 1, 10]]",1.886101230187571
1,4,[N:1]#[C:2][C@H:3]([NH2:4])[C@H:5]([Br:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 4, 2, 9]]",25.48474658709682
2,8,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 1, 8]]",5.229428812061268
3,9,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Br-:9],"[[4, 3, 1, 8]]",43.57944796903036
4,10,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 1, 8]]",16.473887969110415
5,13,[NH2:1][CH2:2][C@:3]([NH2:4])([Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 1, 8]]",9.63707634105967
6,14,[CH3:1][C@@H:2]([Br:3])[CH:4]([NH2:5])[NH2:6].[H-:7],"[[2, 1, 3, 6]]",8.528219845220406
7,15,[NH2:1][CH:2]([NH2:3])[C:4]([Br:5])([N+:6](=[O:7])[O-:8])[N+:9](=[O:10])[O-:11].[H-:12],"[[4, 3, 1, 11]]",5.154353895059306
8,16,[CH3:1][C@@H:2]([C:3]#[N:4])[C@H:5]([Br:6])[C:7]#[N:8].[Cl-:9],"[[5, 4, 1, 8]]",22.797398294155826
9,19,[CH3:1][CH2:2][C:3]([Br:4])([C:5]#[N:6])[C:7]#[N:8].[F-:9],"[[3, 2, 1, 8]]",4.584851259752061
10,20,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 1, 8]]",35.37201270057721
11,21,[CH3:1][C@H:2]([NH2:3])[C@:4]([CH3:5])([Cl:6])[C:7]#[N:8].[Cl-:9],"[[5, 3, 1, 8]]",31.1301332078607
12,22,[N:1]#[C:2][C@@H:3]([Cl:4])[CH:5]([NH2:6])[NH2:7].[Br-:8],"[[3, 2, 4, 7]]",43.603341691361635
13,23,[CH3:1][C@H:2]([NH2:3])[C@:4]([CH3:5])([Cl:6])[C:7]#[N:8].[Br-:9],"[[5, 3, 1, 8]]",36.7393235179351
14,24,[CH3:1][C@H:2]([NH2:3])[C@:4]([Br:5])([C:6]#[N:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[4, 3, 1, 10]]",3.2069344857364337
15,25,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[F-:8],"[[4, 3, 1, 7]]",19.004449514016386
16,27,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[H-:8],"[[4, 3, 1, 7]]",12.33150561486838
17,28,[N:1]#[C:2][C@@H:3]([Cl:4])[CH:5]([NH2:6])[NH2:7].[F-:8],"[[3, 2, 4, 7]]",17.87728161259896
18,29,[N:1]#[C:2][C@@:3]([Br:4])([CH:5]([NH2:6])[NH2:7])[N+:8](=[O:9])[O-:10].[F-:11],"[[3, 2, 4, 10]]",16.896232578672553
