,reaction_id,smiles,reaction_core,activation_energy
0,260,[N:1]#[C:2][CH2:3][C@H:4]([F:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 8]]",40.14003062568917
1,261,[CH3:1][C@@:2]([F:3])([C:4]#[N:5])[CH2:6][NH2:7].[Br-:8],"[[2, 1, 7]]",46.45736501636815
2,262,[N:1]#[C:2][CH2:3][C@:4]([NH2:5])([F:6])[C:7]#[N:8].[H-:9],"[[5, 3, 8]]",23.68552158491612
3,263,[N:1]#[C:2][C@@H:3]([CH2:4][F:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 8]]",16.725671960074312
4,264,[N:1]#[C:2][CH:3]([C:4]#[N:5])[CH2:6][Br:7].[Cl-:8],"[[6, 5, 7]]",21.09287946030048
5,265,[N:1]#[C:2][C@H:3]([NH2:4])[CH2:5][Cl:6].[Cl-:7],"[[5, 4, 6]]",25.592721682277684
6,266,[N:1]#[C:2][C@@H:3]([NH2:4])[CH2:5][Cl:6].[F-:7],"[[5, 4, 6]]",19.695108825654494
7,267,[O:1]=[N+:2]([O-:3])[CH2:4][C@H:5]([Cl:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 4, 9]]",21.435219280043054
8,268,[N:1]#[C:2][CH2:3][C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 8]]",7.953866434627282
9,269,[N:1]#[C:2][CH2:3][C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 8]]",21.11107143131451
10,270,[N:1]#[C:2][CH2:3][C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Br-:9],"[[4, 3, 8]]",25.304066535779143
11,271,[CH3:1][C@H:2]([C@H:3]([Cl:4])[N+:5](=[O:6])[O-:7])[N+:8](=[O:9])[O-:10].[F-:11],"[[3, 2, 10]]",4.396757414072532
12,272,[N:1]#[C:2][CH2:3][C@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 8]]",8.148025760547915
13,273,[N:1]#[C:2][CH2:3][C@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 8]]",21.82586668237808
14,274,[N:1]#[C:2][CH2:3][C@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[Br-:9],"[[4, 3, 8]]",25.847711291250054
15,275,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 8]]",23.06452040882544
16,276,[NH2:1][CH2:2][C@H:3]([Cl:4])[N+:5](=[O:6])[O-:7].[F-:8],"[[3, 2, 7]]",15.115413491124237
17,277,[N:1]#[C:2][C@@H:3]([Cl:4])[CH2:5][N+:6](=[O:7])[O-:8].[Cl-:9],"[[3, 2, 8]]",21.098913944640827
18,278,[N:1]#[C:2][C@@H:3]([Cl:4])[CH2:5][N+:6](=[O:7])[O-:8].[Br-:9],"[[3, 2, 8]]",23.903476747897443
19,279,[N:1]#[C:2][C@@H:3]([Br:4])[CH2:5][N+:6](=[O:7])[O-:8].[Cl-:9],"[[3, 2, 8]]",19.966732448500625
20,280,[N:1]#[C:2][C@@H:3]([F:4])[CH:5]([N+:6](=[O:7])[O-:8])[N+:9](=[O:10])[O-:11].[Cl-:12],"[[3, 2, 11]]",38.8888883212825
21,281,[N:1]#[C:2][C@@H:3]([Cl:4])[C@@H:5]([C:6]#[N:7])[N+:8](=[O:9])[O-:10].[Cl-:11],"[[3, 2, 10]]",23.858903770988068
22,282,[N:1]#[C:2][CH2:3][C@H:4]([F:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7]]",19.07542920959884
23,283,[N:1]#[C:2][CH2:3][C@H:4]([Br:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7]]",8.013283866503658
24,284,[N:1]#[C:2][CH:3]([C:4]#[N:5])[C@H:6]([Br:7])[C:8]#[N:9].[Cl-:10],"[[6, 5, 9]]",22.19963677394945
25,285,[N:1]#[C:2][C@@H:3]([Cl:4])[CH:5]([NH2:6])[NH2:7].[Br-:8],"[[3, 2, 7]]",29.99619937837089
26,286,[CH3:1][C@@H:2]([C@H:3]([Br:4])[C:5]#[N:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[3, 2, 9]]",0.9518529395812314
27,287,[CH3:1][C@@H:2]([C@H:3]([Br:4])[C:5]#[N:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[3, 2, 9]]",18.161892936195738
28,288,[CH3:1][C@H:2]([NH2:3])[C@H:4]([F:5])[C:6]#[N:7].[H-:8],"[[4, 3, 7]]",15.797271226270263
29,289,[CH3:1][C@H:2]([NH2:3])[C@H:4]([F:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7]]",28.90122604256608
30,290,[N:1]#[C:2][C@@H:3]([Cl:4])[C@H:5]([NH2:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[3, 2, 9]]",14.883107620067127
31,291,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[Cl-:8],"[[4, 3, 7]]",28.74473912499645
32,292,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7]]",22.054643192544606
33,293,[N:1]#[C:2][C@@H:3]([F:4])[CH:5]([NH2:6])[NH2:7].[Cl-:8],"[[3, 2, 7]]",49.42551084015998
34,294,[N:1]#[C:2][C@@H:3]([Cl:4])[CH:5]([NH2:6])[NH2:7].[H-:8],"[[3, 2, 7]]",4.2740138619661865
35,295,[N:1]#[C:2][C@@H:3]([Cl:4])[CH:5]([NH2:6])[NH2:7].[F-:8],"[[3, 2, 7]]",28.79514846007246
36,296,[N:1]#[C:2][C@@H:3]([Cl:4])[CH:5]([NH2:6])[NH2:7].[Cl-:8],"[[3, 2, 7]]",37.22185987661639
37,297,[CH3:1][C@@H:2]([Cl:3])[CH:4]([N+:5](=[O:6])[O-:7])[N+:8](=[O:9])[O-:10].[F-:11],"[[2, 1, 10]]",3.8825372304682686
38,298,[CH3:1][C@@H:2]([F:3])[C@@H:4]([C:5]#[N:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[2, 1, 9]]",18.556438211948567
39,299,[CH3:1][C@@H:2]([Cl:3])[C@@H:4]([C:5]#[N:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[2, 1, 9]]",8.648493747263021
40,300,[CH3:1][C@@H:2]([Cl:3])[C@@H:4]([NH2:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[2, 1, 8]]",14.407960489824855
41,301,[CH3:1][C@@H:2]([Cl:3])[C@@H:4]([NH2:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[2, 1, 8]]",26.68587747070147
42,302,[CH3:1][C@@H:2]([Br:3])[CH:4]([C:5]#[N:6])[C:7]#[N:8].[F-:9],"[[2, 1, 8]]",4.0978188757680645
43,303,[CH3:1][C@@H:2]([Br:3])[CH:4]([C:5]#[N:6])[C:7]#[N:8].[Cl-:9],"[[2, 1, 8]]",25.026063745193216
44,304,[CH3:1][C@@H:2]([F:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[H-:8],"[[2, 1, 7]]",26.46918727207857
45,305,[CH3:1][C@@H:2]([F:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[F-:8],"[[2, 1, 7]]",29.529905721373986
46,306,[CH3:1][C@@H:2]([F:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[Cl-:8],"[[2, 1, 7]]",44.99540450982835
47,307,[CH3:1][C@@H:2]([Br:3])[CH:4]([NH2:5])[NH2:6].[H-:7],"[[2, 1, 6]]",10.301769022967044
48,308,[CH3:1][C@@H:2]([Br:3])[CH:4]([NH2:5])[NH2:6].[F-:7],"[[2, 1, 6]]",19.154772212211032
49,309,[CH3:1][C@@H:2]([Br:3])[CH:4]([NH2:5])[NH2:6].[Cl-:7],"[[2, 1, 6]]",31.59045940835719
50,310,[N:1]#[C:2][CH2:3][C@@H:4]([NH2:5])[Cl:6].[F-:7],"[[5, 3, 6]]",19.184704395849547
51,311,[NH2:1][C@@H:2]([F:3])[C@@H:4]([NH2:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[2, 1, 8]]",40.40658700610087
52,312,[NH2:1][C@@H:2]([F:3])[CH2:4][N+:5](=[O:6])[O-:7].[F-:8],"[[2, 1, 7]]",34.72474566282938
53,313,[CH3:1][C@H:2]([C@@H:3]([NH2:4])[F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 2, 8]]",26.77834008431371
54,314,[CH3:1][C@H:2]([C@@H:3]([NH2:4])[F:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 8]]",33.686610602921746
55,315,[NH2:1][C@@H:2]([F:3])[C@@H:4]([NH2:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[2, 1, 8]]",34.762410407348966
56,316,[NH2:1][C@@H:2]([Cl:3])[C@@H:4]([NH2:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[2, 1, 8]]",22.10447785622703
57,317,[N:1]#[C:2][CH:3]([C:4]#[N:5])[C@@H:6]([NH2:7])[F:8].[F-:9],"[[7, 5, 8]]",21.4287202498444
58,318,[N:1]#[C:2][CH:3]([C:4]#[N:5])[C@@H:6]([NH2:7])[F:8].[Cl-:9],"[[7, 5, 8]]",47.27350505191457
59,319,[N:1]#[C:2][CH:3]([C:4]#[N:5])[C@@H:6]([NH2:7])[Cl:8].[F-:9],"[[7, 5, 8]]",8.343482009990241
60,320,[N:1]#[C:2][C@@H:3]([C@@H:4]([NH2:5])[F:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 3, 9]]",46.08786197298702
61,321,[NH2:1][C@@H:2]([Cl:3])[C@H:4]([NH2:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[2, 1, 8]]",19.423098286670168
62,322,[NH2:1][C@@H:2]([Cl:3])[C@H:4]([NH2:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[2, 1, 8]]",24.86124923535732
63,323,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@H:5]([NH2:6])[F:7].[F-:8],"[[6, 4, 7]]",34.39131439800479
64,324,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@H:5]([NH2:6])[F:7].[Cl-:8],"[[6, 4, 7]]",45.98721665719988
65,325,[N:1]#[C:2][CH2:3][C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 8]]",10.344846109943582
66,326,[N:1]#[C:2][CH2:3][C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 8]]",27.407684826562967
67,327,[O:1]=[N+:2]([O-:3])[CH2:4][C@@H:5]([F:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 4, 9]]",0.8879238896414916
